chr1 365650 370710 fill_color=chr21,z=9
chr1 98499 99722 fill_color=chr5,z=78
chr1 541395 541839 fill_color=chr1,z=92
chr1 689885 693610 fill_color=chr16,z=33
chr1 898421 900535 fill_color=chr9,z=62
chr1 140627 143568 fill_color=chr12,z=47
chr1 238032 241097 fill_color=chr13,z=45
chr1 847532 849125 fill_color=chr6,z=71
chr1 826906 828468 fill_color=chr6,z=71
chr1 999685 1003717 fill_color=chr17,z=27
chr1 863835 864735 fill_color=chr3,z=83
chr1 628609 629571 fill_color=chr4,z=82
chr1 772033 774600 fill_color=chr11,z=53
chr1 777997 779584 fill_color=chr6,z=71
chr1 637705 639406 fill_color=chr7,z=69
chr1 245530 248283 fill_color=chr11,z=50
chr1 879376 881927 fill_color=chr10,z=54
chr1 220779 223769 fill_color=chr12,z=46
chr1 823503 825465 fill_color=chr8,z=64
chr1 262310 265019 fill_color=chr11,z=51
chr1 609712 612484 fill_color=chr11,z=50
chr1 780682 781469 fill_color=chr3,z=85
chr1 265608 267778 fill_color=chr9,z=61
chr1 732466 733523 fill_color=chr4,z=81
chr1 270310 270448 fill_color=chr0,z=97
chr1 863916 865421 fill_color=chr6,z=72
chr1 974585 974629 fill_color=chr0,z=99
chr1 848572 849369 fill_color=chr3,z=85
chr1 797481 798415 fill_color=chr4,z=83
chr1 985118 986876 fill_color=chr7,z=68
chr1 763760 766651 fill_color=chr12,z=48
chr1 479096 480191 fill_color=chr4,z=80
chr1 433525 436053 fill_color=chr10,z=54
chr1 358596 361333 fill_color=chr11,z=50
chr1 445680 447724 fill_color=chr8,z=63
chr1 247035 250044 fill_color=chr12,z=46
chr1 207011 207919 fill_color=chr3,z=83
chr1 732648 734901 fill_color=chr9,z=59
chr1 364195 366293 fill_color=chr9,z=62
chr1 490577 492747 fill_color=chr9,z=61
chr1 75942 78525 fill_color=chr11,z=53
chr1 672875 674742 fill_color=chr8,z=66
chr1 497863 500735 fill_color=chr12,z=48
chr1 406686 406801 fill_color=chr0,z=97
chr1 358782 362585 fill_color=chr16,z=31
chr1 677077 679972 fill_color=chr12,z=48
chr1 161192 163916 fill_color=chr11,z=51
chr1 422926 424910 fill_color=chr8,z=64
chr1 616454 617063 fill_color=chr2,z=89
chr1 381170 381998 fill_color=chr3,z=85
chr1 542744 544489 fill_color=chr7,z=68
chr1 770416 770647 fill_color=chr1,z=95
chr1 495523 497796 fill_color=chr9,z=59
chr1 131241 135167 fill_color=chr16,z=29
chr1 247278 248913 fill_color=chr7,z=70
chr1 881604 881620 fill_color=chr0,z=99
chr1 562967 564761 fill_color=chr7,z=67
chr1 555283 555999 fill_color=chr3,z=87
chr1 399982 402230 fill_color=chr9,z=59
chr1 541229 543874 fill_color=chr11,z=52
chr1 798722 799069 fill_color=chr1,z=93
chr1 689198 690200 fill_color=chr4,z=82
chr1 174567 175471 fill_color=chr3,z=83
chr1 248613 250331 fill_color=chr7,z=69
chr1 933974 936071 fill_color=chr9,z=62
chr1 180578 181360 fill_color=chr3,z=85
chr1 227028 228856 fill_color=chr7,z=67
chr1 466369 468421 fill_color=chr8,z=63
chr1 79690 82034 fill_color=chr10,z=57
chr1 111620 113900 fill_color=chr9,z=59
chr1 59481 60991 fill_color=chr6,z=72
chr1 937082 937560 fill_color=chr2,z=91
chr1 257771 258594 fill_color=chr3,z=85
chr1 815828 817193 fill_color=chr5,z=75
chr1 863424 865208 fill_color=chr7,z=67
chr1 38809 41570 fill_color=chr11,z=50
chr1 281489 282756 fill_color=chr5,z=77
chr1 494190 496420 fill_color=chr9,z=59
chr1 661546 663431 fill_color=chr8,z=66
chr1 856087 857426 fill_color=chr5,z=75
chr1 515429 517207 fill_color=chr7,z=68
chr1 513148 515351 fill_color=chr9,z=60
chr1 297830 298110 fill_color=chr1,z=94
chr1 789975 792458 fill_color=chr10,z=55
chr1 39197 40985 fill_color=chr7,z=67
chr1 552284 552559 fill_color=chr1,z=95
chr1 935947 940034 fill_color=chr17,z=26
chr1 783475 785619 fill_color=chr9,z=61
chr1 632912 633748 fill_color=chr3,z=84
chr1 593481 595251 fill_color=chr7,z=68
chr1 588001 589582 fill_color=chr6,z=71
chr1 653214 655006 fill_color=chr7,z=67
chr1 363369 365502 fill_color=chr9,z=61
chr1 449959 450003 fill_color=chr0,z=99
chr1 884693 888986 fill_color=chr18,z=23
chr1 290780 291876 fill_color=chr4,z=80
chr1 773210 774108 fill_color=chr3,z=83
