chr1 380983 386043 fill_color=chr21,z=9
chr1 904398 905621 fill_color=chr5,z=78
chr1 791349 791793 fill_color=chr1,z=92
chr1 564304 568029 fill_color=chr16,z=33
chr1 632734 634848 fill_color=chr9,z=62
chr1 463867 466808 fill_color=chr12,z=47
chr1 758098 761163 fill_color=chr13,z=45
chr1 872072 873665 fill_color=chr6,z=71
chr1 96744 98306 fill_color=chr6,z=71
chr1 332581 336613 fill_color=chr17,z=27
chr1 743922 744822 fill_color=chr3,z=83
chr1 824794 825756 fill_color=chr4,z=82
chr1 185085 187652 fill_color=chr11,z=53
chr1 484425 486012 fill_color=chr6,z=71
chr1 370013 371714 fill_color=chr7,z=69
chr1 340002 342755 fill_color=chr11,z=50
chr1 147099 149650 fill_color=chr10,z=54
chr1 799478 802468 fill_color=chr12,z=46
chr1 440338 442300 fill_color=chr8,z=64
chr1 396422 399131 fill_color=chr11,z=51
chr1 830654 833426 fill_color=chr11,z=50
chr1 935202 935989 fill_color=chr3,z=85
chr1 401031 403201 fill_color=chr9,z=61
chr1 869140 870197 fill_color=chr4,z=81
chr1 215393 215531 fill_color=chr0,z=97
chr1 785457 786962 fill_color=chr6,z=72
chr1 131133 131177 fill_color=chr0,z=99
chr1 532680 533477 fill_color=chr3,z=85
chr1 728476 729410 fill_color=chr4,z=83
chr1 754504 756262 fill_color=chr7,z=68
chr1 565499 568390 fill_color=chr12,z=48
chr1 107598 108693 fill_color=chr4,z=80
chr1 485993 488521 fill_color=chr10,z=54
chr1 873645 876382 fill_color=chr11,z=50
chr1 158834 160878 fill_color=chr8,z=63
chr1 505136 508145 fill_color=chr12,z=46
chr1 868935 869843 fill_color=chr3,z=83
chr1 67181 69434 fill_color=chr9,z=59
chr1 466606 468704 fill_color=chr9,z=62
chr1 110152 112322 fill_color=chr9,z=61
chr1 793323 795906 fill_color=chr11,z=53
chr1 273614 275481 fill_color=chr8,z=66
chr1 578524 581396 fill_color=chr12,z=48
chr1 903217 903332 fill_color=chr0,z=97
chr1 799428 803231 fill_color=chr16,z=31
chr1 304687 307582 fill_color=chr12,z=48
chr1 931113 933837 fill_color=chr11,z=51
chr1 967208 969192 fill_color=chr8,z=64
chr1 623231 623840 fill_color=chr2,z=89
chr1 201687 202515 fill_color=chr3,z=85
chr1 238394 240139 fill_color=chr7,z=68
chr1 851274 851505 fill_color=chr1,z=95
chr1 260302 262575 fill_color=chr9,z=59
chr1 864147 868073 fill_color=chr16,z=29
chr1 207858 209493 fill_color=chr7,z=70
chr1 915880 915896 fill_color=chr0,z=99
chr1 52531 54325 fill_color=chr7,z=67
chr1 84465 85181 fill_color=chr3,z=87
chr1 99770 102018 fill_color=chr9,z=59
chr1 87283 89928 fill_color=chr11,z=52
chr1 963869 964216 fill_color=chr1,z=93
chr1 43050 44052 fill_color=chr4,z=82
chr1 491596 492500 fill_color=chr3,z=83
chr1 979588 981306 fill_color=chr7,z=69
chr1 733080 735177 fill_color=chr9,z=62
chr1 287497 288279 fill_color=chr3,z=85
chr1 229340 231168 fill_color=chr7,z=67
chr1 559475 561527 fill_color=chr8,z=63
chr1 847967 850311 fill_color=chr10,z=57
chr1 237139 239419 fill_color=chr9,z=59
chr1 90214 91724 fill_color=chr6,z=72
chr1 35145 35623 fill_color=chr2,z=91
chr1 453486 454309 fill_color=chr3,z=85
chr1 87638 89003 fill_color=chr5,z=75
chr1 205968 207752 fill_color=chr7,z=67
chr1 440331 443092 fill_color=chr11,z=50
chr1 140384 141651 fill_color=chr5,z=77
chr1 421308 423538 fill_color=chr9,z=59
chr1 566034 567919 fill_color=chr8,z=66
chr1 90077 91416 fill_color=chr5,z=75
chr1 644591 646369 fill_color=chr7,z=68
chr1 905470 907673 fill_color=chr9,z=60
chr1 650208 650488 fill_color=chr1,z=94
chr1 231795 234278 fill_color=chr10,z=55
chr1 481633 483421 fill_color=chr7,z=67
chr1 746785 747060 fill_color=chr1,z=95
chr1 350866 354953 fill_color=chr17,z=26
chr1 467946 470090 fill_color=chr9,z=61
chr1 434078 434914 fill_color=chr3,z=84
chr1 393298 395068 fill_color=chr7,z=68
chr1 206792 208373 fill_color=chr6,z=71
chr1 941248 943040 fill_color=chr7,z=67
chr1 170902 173035 fill_color=chr9,z=61
chr1 682619 682663 fill_color=chr0,z=99
chr1 659669 663962 fill_color=chr18,z=23
chr1 545768 546864 fill_color=chr4,z=80
chr1 501112 502010 fill_color=chr3,z=83
chr1 834533 835825 fill_color=chr5,z=76
chr1 588611 589249 fill_color=chr2,z=88
chr1 144660 145603 fill_color=chr4,z=83
chr1 323691 323744 fill_color=chr0,z=99
